GenArtNo;genart_en
623;Gasket Set, manual transmission
624;Shaft Seal, manual transmission
625;Gasket Set, automatic transmission
626;Shaft Seal, automatic transmission
627;Retarder
628;Gasket, differential
629;Gasket Set, differential
630;Shaft Seal, differential
631;Gasket, transfer case
632;Gasket Set, transfer case
633;Shaft Seal, transfer case
634;Gasket, power take-off
635;Gasket Set, power take-off
636;Shaft Seal, power take-off
637;Spring Pack
638;Spring Leaf
639;Pipe
643;Repair Kit, spring bolt
644;Spring Bolt
645;Bushing, leaf spring
646;Spring Shackle
647;Bush, spring shackle
648;Leaf Spring Hanger
649;Spring Clamp
650;Centring Ring, leaf spring
651;Central Bolt
652;Repair Kit, kingpin
653;Wheel Hub
654;Wheel Bearing Kit
655;Wheel Bearing
656;Shaft Seal, wheel hub
657;Wheel Stud
658;Wheel Nut
659;Retaining Ring, rim
660;Centring Ring, rim
661;Rim
662;Repair Kit, brake booster
663;Valve, brake booster
664;Gasket, vacuum pump piston
665;Valve, vacuum pump
666;Gasket, vacuum pump
667;Vacuum Hose, braking system
668;Sensor, brake fluid level
669;Brake Line Set
671;Parking Socket
672;Connecting Cable, ABS
673;Repair Kit, steering idler arm
676;Joint, steering shaft
677;Hydraulic Hose, steering
678;Control Unit, power steering
679;Valve, power steering
680;Gasket, steering gear
681;Gasket Set, steering gear
682;Solenoid Switch, starter
683;Ignition Distributor
684;Ignition Cable
685;Ignition Cable Kit
686;Spark Plug
688;Contact Breaker, ignition distributor
689;Ignition Coil
690;Capacitor, ignition system
691;Ignition Distributor Rotor
692;Ignition Distributor Cap
694;Bracket, ignition distributor rotor
695;Plug, ignition distributor
696;Plug, spark plug
698;Plug, coil
699;Control Unit, glow time
700;Actuator, headlight levelling
702;Reflector, headlight
703;Frame, headlight
704;Cable Set, headlight
705;Housing, headlight
706;Series Resistor, ignition system
707;Glow Indicator
708;Retrofit Kit, quick-start glow plug system
709;Series Resistor, glow plug system
710;Reflector, front fog light
712;Frame, front fog light
713;Reflector, high beam headlight
715;Frame, high beam headlight
716;Housing, high beam headlight
717;Searchlight
718;Reflector, searchlight
720;Frame, searchlight
721;Cable Set, searchlight
722;Cover, searchlight
723;Housing, searchlight
724;Worklight
725;Reflector, worklight
727;Frame, worklight
728;Cable Set, worklight
729;Cover, worklight
730;Housing, worklight
731;Bolt, exhaust system
734;Mounting Kit, trailer hitch
737;Mounting Set, roof rack
738;Mounting Kit, fuel tank
740;Hinge, bonnet
743;Adjuster, drum brake
744;Housing, rear fog light
746;Licence Plate Holder
751;Control Unit, wipe-/wash interval
752;Control, instrument lighting
753;Pulsation Damper, fuel supply system
754;Cross Member
755;Wheelhouse
757;Shaft Seal, camshaft
758;Vacuum Control Valve, exhaust gas recirculation
761;Boost Pressure Control Valve
762;Relay, ABS
763;Relay, immobilizer
764;Time-delay Relay, trailer hitch
765;Spare Wheel Well
768;Repair Kit, windscreen washer-fluid jet
769;Repair Kit, guide strut
770;Repair Kit, tie rod
771;Repair Kit, wheel suspension
772;Repair Kit, control arm
773;Repair Kit, tie rod end
774;Repair Kit, tie rod ball studs
775;Repair Kit, kingpin
776;Repair Kit, steering knuckle
780;Repair Kit, guide bolt
781;Repair Kit, automatic adjustment
782;Repair Kit, brake force regulator
783;Repair Kit, expander
784;Taillight Cover
785;Holder, rear fog light
786;Rotating Beacon
787;Holder, wiper motor
788;Electric Motor, sunroof
789;Control Element, exterior mirror
790;Electric Motor, seat adjustment
791;Actuator, central locking system
792;Electric Motor, radiator fan
793;Electric Motor, interior blower
794;Washer Fluid Pump, window cleaning
795;Washer Fluid Pump, headlight cleaning
796;Relay, wipe/wash interval
797;Relay, cold start control
799;Battery Relay
800;Relay, main current
802;Hazard Warning Light Relay
