rule_id;base_type;carrier;purpose;position;features;genart_id;note
HINGE-HOOD;HINGE;HOOD;;;;740;
HINGE-TAILGATE;HINGE;TAILGATE;;;;740;Hinge, tailgate
HINGE-DOOR;HINGE;DOOR;;;;1568;
SPLASH-BRAKE;SPLASH GUARD;;BRAKE;;;1330;
MUDFLAP;MUD FLAP;;;;;1715;
EMBLEM;EMBLEM;;;;;4221;
DOORCHECK;DOOR CHECK;;;;;3251;
WHEELARCH2;WHEELARCH;;;;;755;Wheelhouse (compound WHEELARCH token)
WHEELARCH;WHEEL ARCH;;;;;755;
FLARE;FLARE;;;;;1004;
MOULD-BUMPER;MOULDING;BUMPER;;;;1002;
MOULD-DOOR;MOULDING;DOOR;;;;1005;
MOULD-TAILGATE;MOULDING;TAILGATE;;;;1005;Tailgate moulding
MOULD-SILL;MOULDING;SILL;;;;1345;Sill moulding/trim
MOULD-POS;MOULDING;;;REAR;;1005;Rear side moulding
MOULD-WING;MOULDING;WING;;;;1004;
MOULD-FENDER;MOULDING;FENDER;;;;1004;
GRILLE-BUMPER;GRILLE;BUMPER;;;;244;
GRILLE;GRILLE;;;;;472;
SPOILER;SPOILER;;;;;845;
ABSORBER;ABSORBER;BUMPER;;;;1087;
REINF-BUMPER;REINFORCEMENT;BUMPER;;;;1566;
STIFF-BUMPER;STIFFENER;BUMPER;;;;1566;
REINF-REAR;REINFORCEMENT;;;REAR;;1566;Rear reinforcement (plastic)
REINF-REAR-BRKT;REINFORCEMENT+BRACKET;;;REAR;;939;Rear reinforcement bracket
BRKT-FOGLAMP;BRACKET;;;;FOG-LAMP;102;
BRKT-HEADLAMP;BRACKET;;;;HEAD LAMP;101;
BRKT-BUMPER;BRACKET;BUMPER;;;;939;
BRKT-FENDER;BRACKET;FENDER;;;;4072;
HEATER-RAD;HEATER RADIATOR;;;;;467;
INTERCOOLER;RADIATOR;;INTERCOOLER;;;468;
RADIATOR;RADIATOR;;;;;470;
CONDENSER;CONDENSER;;;;;448;
COOLINGFAN;COOLING FAN;;;;;4349;
HEADLAMP;HEAD LAMP;;;;;259;
FRONT-LAMP;LAMP;;;FRONT;;259;Front lamp (headlamp generic)
WIPER-ARM;ARM;WIPER;;;;301;
WIPER-BLADE;BLADE;WIPER;;;;298;
