GenArtNo;genart_en;standardised_article_description;assembly_groups;purpose_of_use;Delete
2645;Retaining Tool Set, crankshaft;Retaining Tool Set;Tool, universal;Crankshaft;0
2646;Test Unit, timing belt tension;Tester;Tool, universal;Timing Belt Tension;0
2647;Spanner, timing belt tension;Key;Tool, universal;Timing Belt Tension;0
2648;Banded V-Belts;Belt;Belt Drive;Banded V-Belts;0
2649;Bellow, drive shaft;Bellow;Wheel Drive, universal;Drive Shaft;0
2650;Mounting Set, drive shaft bellow;Assembly Kit;Wheel Drive, universal;Bellow drive shaft;0
2651;Remote Control, central locking;Remote Control;Lock System, universal;Central Locking System;0
2652;Actuator, central locking system;Actuator;Lock System, universal;Central Locking System;0
2653;Hand-held Transmitter Housing, central locking;Housing;Lock System, universal;Hand-held Transmitter for central locking;0
2654;Siren, alarm system;Siren;Lock System, universal;Alarm System;0
2655;Switch, door contact;Switch;Lock System, universal;Door Light Contact;0
2656;Warning Triangle;Warning Triangle;Security Systems, universal;NULL;0
2658;Alarm System;Warning System;Security Systems, universal;Theft Alarm;0
2659;Inclination Sensor, alarm system;Sensor;Security Systems, universal;Inclination Sensor;0
2660;Hand Held Transmitter, alarm system;Hand-held Transmitter;Security Systems, universal;Alarm System;0
2661;Transmitter Housing, alarm system;Housing;Security Systems, universal;Alarm System;0
2662;Extension Line, ultrasonic module;Electric Cable;Security Systems, universal;Ultrasonic Module;0
2663;Siren, alarm system;Siren;Security Systems, universal;Alarm System;0
2664;Switch, door contact;Switch;Security Systems, universal;Door Light Contact;0
2666;Seal, radiator;Gasket/Seal;Cooling System;Radiator;0
2667;Frame, radiator;Frame;Cooling System;Radiator;0
2668;Cooling Module;Heat Exchanger;Cooling System;NULL;0
2669;Interior Blower;Fan;Heating/Ventilation;Cabin Air;0
2670;Daytime Running Light;Light;Lights, universal;Daytime Running Light;0
2671;Bend Headlight System;Headlight Set;Lights, universal;Bend Illumination;0
2672;Base, rotating beacon;Base;Signal System, universal;Rotating Beacon;0
2675;Thermometer, exterior/interior temperature;Thermometer;Instruments, universal;Exterior/Interior Temperature;0
2676;Thermometer, exterior temperature;Thermometer;Instruments, universal;Exterior Temperature;0
2679;Service Hour Counter;Gauge;Instruments, universal;Service Hour Counter;0
2680;Tractormeter;Gauge;Instruments, universal;Tractormeter;0
2681;Manometer;Gauge;Instruments, universal;Manometer;0
2682;Gauge, brake pressure;Gauge;Instruments, universal;Brake Pressure;0
2683;Gauge, cylinder head temperature;Gauge;Instruments, universal;Cylinder Head Temperature;0
2684;Multi-function Gauge;Gauge;Instruments, universal;Multi-function;0
2685;Armrest;Backrest;Interior Equipment, universal;Arm;0
2686;Floor Mat;Floor Mat;Interior Equipment, universal;NULL;0
2687;Floor Mat Set;Floor Mat Set;Interior Equipment, universal;NULL;0
2688;Gas Spring, telephone console;Gas Spring;Interior Equipment, universal;Telephone Console;0
2689;Gas Spring, spare-wheel carrier;Gas Spring;Body Parts, universal;Spare Tyre Bracket;0
2691;Cigarette Lighter;Cigarette Lighter;Interior Equipment, universal;NULL;0
2692;Core, radiator;Heat Exchanger;Cooling System;Radiator Core;0
2697;Mounting Paste;Mounting Aid;Chemical Products;Mounting Paste;0
2698;Mounting Spray;Mounting Aid;Chemical Products;Mounting Spray;0
2699;Mounting Liquid;Mounting Aid;Chemical Products;Mounting Liquid;0
2700;Seal, oil dipstick;Gasket/Seal;Lubrication;Oil Dipstick;0
2701;Handsender, central locking;Hand-held Transmitter;Lock System;Central Locking System;0
2702;Mounting Lever, brake shoe;Lever;Tool, universal;Brake Shoe Mounting;0
2704;Switch, rear window heating;Switch;Comfort Systems;Rear Window Heating;0
2705;Bushing, rocker arm;Bush;Cylinder Head;Rocker Arm;0
2706;Piston Holding Bracket, wheel brake cylinder;Holding Bracket;Tool, universal;Wheel Brake Cylinder Piston;0
2707;Angled Screwdriver;Angle Screwdriver;Tool, universal;NULL;0
2708;Handsender, central locking;Hand-held Transmitter;Lock System, universal;Central Locking System;0
2709;Signal Unit;Signal Unit;Signal System;NULL;0
2711;Adaptor, washer fluid pump (window cleaning);Adaptor;Window Cleaning;Washer Fluid Pump (window cleaning);0
2712;Adaptor, washer fluid pump (headlight cleaning);Adaptor;Headlight Cleaning;Washer Fluid Pump (headlight cleaning);0
2713;Reamer Set, ABS sensor mounting;Reamer Set;Tool, universal;ABS Sensor Mounting;0
2714;Reamer Head, ABS sensor mounting;Reamer Head;Tool, universal;ABS Sensor Mounting;0
2715;Spring Retaining Pin, brake shoe;Pin;Braking System;Brake Shoes;0
2716;Bush, brake shoe pin;Bush;Braking System;Brake Shoe Pin;0
2717;Bush, brake shoe sleeve;Bush;Braking System;Brake Shoe Sleeve;0
2718;Brake Shoe Sleeve;Pulley;Braking System;Brake Shoes;0
2719;Pin, brake shoe sleeve;Bolt;Braking System;Brake Shoe Sleeve;0
2720;Repair Kit, brake shoe sleeve;Repair Kit;Braking System;Brake Shoe Sleeve;0
2721;Repair Kit, adjuster;Repair Kit;Braking System;Adjuster;0
2722;Repair Kit, brake camshaft;Repair Kit;Braking System;Brake Camshaft;0
2723;Wedge Drum Brake;Brake Equipment Group;Compressed-air System;Wedge Drum Brake;0
2724;Brake Shoe Pin Set;Bolt Kit;Braking System;Brake Shoes;0
2725;Chain, oil pump drive;Chain;Lubrication;Oil Pump;0
2726;Chain Link, oil pump drive;Chain Link;Lubrication;Oil Pump;0
2728;Repair Kit, flywheel;Repair Kit;Crankshaft Drive;Flywheel;0
2729;Repair Kit, tensioner lever (V-ribbed belt);Repair Kit;Belt Drive;Tensioner Lever (V-ribbed belt);0
2730;Oil Baffle, crankshaft;Shield;Crankshaft Drive;Crankshaft;0
2731;Bush, parking brake shaft;Bush;Braking System;Parking Brake Shaft;0
2732;Bearing, parking brake shaft;Bearing;Braking System;Parking Brake Shaft;0
2733;Bearing, brake camshaft;Bearing;Braking System;Brake Camshaft;0
2734;Buffer, brake force regulator;Buffer;Braking System;Brake Force Regulator;0
2735;Tensioner Lever, V-belt;Tensioner Arm;Belt Drive;V-Belt;0
2736;Fastening Bolt, stabiliser bar;Bolt;Wheel Suspension;Stabiliser;0
2737;Relay, interior blower;Relay;Heating/Ventilation;Interior Blower;0
2738;Bracket, gearshift linkage;Bracket;Manual Transmission;Gearshift Linkage;0
2739;Spacer Ring;Spacer Ring;Standard Parts;Spacing, alignment;0
2740;Extension Kit, park distance control early warning;Extension Kit;Comfort Systems, universal;Park Distance Control Early Warning;0
2741;Assortment, pipe connectors;Assortment;Exhaust System, universal;Pipe Connector;0
2742;Corrugated Pipe;Pipe;Electric Universal Parts;Cable Protecting Sleeve;0
2743;Adapter, clutch master cylinder;Adaptor;Clutch;Master Cylinder;0
2744;Switch, interior light;Switch;Lights, universal;Interior Light;0
2745;Main Switch, battery;Switch;Electric Universal Parts;Battery;0
2746;Wear Indicator, brake pad;Gauge;Braking System;Brake Pad Wear;0
2747;Oil Scraper Plate, crankcase ventilation;Shield;Cylinder Head;Crankcase Ventilation;0
2748;Relay, exterior mirror heating;Relay;Comfort Systems;Exterior mirror Heating;0
2749;Repair Kit, parking brake shaft;Repair Kit;Braking System;Parking Brake Shaft;0
2750;Plug, rocker arm shaft mounting bore;Plug;Cylinder Head;Rocker Arm Shaft Mounting Bore;0
2751;Cover Ring, brake-shoe pin bore;Covering Ring;Braking System;Brake-shoe Pin Bore;0
2752;Seal Ring, hydraulic filter;Seal Ring;Automatic Transmission;Hydraulic Filter;0
2753;Relay, relay, radiator fan overrun (charge air cooler);Relay;Cooling System;Charge Air Cooling;0
2754;Fastening Bolts;Bolt;Standard Parts;Fasteners;0
2755;Screw Plug, axle drive;Screw;Axle Drive;Oil Drain;0
2756;Shaft Seal, brake camshaft;Seal Ring;Braking System;Brake Camshaft;0
2757;Shaft Seal, parking brake shaft;Seal Ring;Braking System;Parking Brake Shaft;0
2758;Clamping Piece, V-ribbed belt tensioner;Clamping Piece;Belt Drive;V-ribbed Belt Tensioner;0
2760;Backplate, fifth wheel kingpin;Holder;Trailer Hitch;Fifth Wheel Kingpin;0
2761;Bearing, V-ribbed belt tensioner;Bearing;Belt Drive;V-ribbed Belt Tensioner;0
2762;Mounting, shaft seal (brake camshaft);Holder;Braking System;Shaft Seal (brake camshaft);0
2763;Battery Terminal Clamp;Clamp;Electric Universal Parts;Battery Terminal;0
2766;Earth Strap;Electric Cable;Electric Universal Parts;Battery Earth;0
2767;Conversion Catalytic Converter;Catalytic Converter;Exhaust System;Conversion;0
2768;Battery Charger Pliers;Pliers;Workshop Devices;Battery Charging;0
2769;Bulb, worklight;Bulb;Lights, universal;Worklight;0
2770;Bulb, direction indicator;Bulb;Signal System, universal;Direction Indicator;0
2771;Bulb, stop/tail light;Bulb;Lights, universal;Brake-/Stoplight;0
2772;Connecting Tube, refrigerant line;Fitting;Air Conditioning, universal;Refrigerant Line Connector;0
2773;Bulb, stop light;Bulb;Signal System, universal;Stop Light;0
2774;Bulb, high beam headlight;Bulb;Lights, universal;High Beam Headlight;0
2775;Bulb, interior light;Bulb;Lights, universal;Interior Light;0
2776;Bulb, instrument lighting;Bulb;Lights, universal;Instrument Lighting;0
2777;Bulb, licence plate light;Bulb;Lights, universal;Licence Plate Light;0
2778;Bulb, boot light;Bulb;Lights, universal;Boot Light;0
2779;Bulb, engine bay light;Bulb;Lights, universal;Light, engine bay;0
2780;Bulb, front fog light;Bulb;Lights, universal;Front Fog Light;0
2781;Bulb, rear fog light;Bulb;Lights, universal;Rear Fog Light;0
2782;Bulb, park/position light;Bulb;Lights, universal;Park/End Outline Marker Light;0
2783;Bulb, position/end outline marker light;Bulb;Lights, universal;Position/End Outline Marker Light;0
2784;Bulb, reverse light;Bulb;Lights, universal;Reverse Light;0
2785;Bulb, rotating beacon;Bulb;Signal System, universal;Rotating Beacon;0
2786;Bulb, tail light;Bulb;Lights, universal;Tail Light;0
2787;Bulb, searchlight;Bulb;Lights, universal;Searchlight;0
2788;Bulb, door light;Bulb;Lights, universal;Door Light;0
2789;Bulb, clearance/end outline marker light;Bulb;Lights, universal;Clearance/End Outline Marker Light;0
2790;Switch, exterior mirror adjustment;Switch;Electric Universal Parts;Exterior Mirror Adjustment;0
2791;Shelve/-system;Rack;Workshop Devices;NULL;0
2792;Conversion Kit, cold-start control;Conversion Kit;Carburettor;Cold-start Control;0
2793;Heat Shrink Tube;Hose Line;Standard Parts;Heat Shrink Tube;0
2794;Isolation Hose;Hose Line;Standard Parts;Isolation;0
2797;Bulb, auxiliary stop light;Bulb;Signal System;Auxiliary Stop Light;0
2798;Bulb, auxiliary stop light;Bulb;Signal System, universal;Auxiliary Stop Light;0
2799;Clamping Pliers, bellow;Pliers;Tool, universal;Bellow Clamping Clip;0
2800;Exterior Mirror, driver cab;Mirror;Driver Cab, universal;Exterior Mirror;0
2801;Exterior Mirror;Mirror;Body Parts, universal;Exterior Mirror;0
2802;Pressure Switch, air conditioning;Switch;Air Conditioning, universal;Pressure Switch;0
2803;Holder, exterior mirror;Holder;Driver Cab, universal;Exterior Mirror;0
2804;Housing, worklight;Housing;Lights, universal;Worklight;0
2805;Refrigerant, air conditioning;Refrigerant;Air Conditioning, universal;NULL;0
2806;Low-pressure Switch, air conditioning;Switch;Air Conditioning, universal;Low-pressure;0
2807;Switch, rotating beacon;Switch;Signal System, universal;Rotating Beacon;0
2808;Headlight Cleaning System;Wiper System;Headlight Cleaning, universal;NULL;0
2809;Mirror Glass, exterior mirror;Mirror Glass;Driver Cab, universal;Exterior Mirror;0
2810;Mirror Glass, exterior mirror;Mirror Glass;Body Parts, universal;Exterior Mirror;0
2811;Diffusing Lens, worklight;Diffusing Lens;Lights, universal;Worklight;0
2812;Cover Cap, rain sensor;Cap;Comfort Systems, universal;Rain Sensor;0
2813;Electric Motor, interior blower;Electric Motor;Heating/Ventilation, universal;Interior Blower;0
2814;Electric Motor, rotating beacon;Electric Motor;Signal System, universal;Rotating Beacon;0
2815;Expansion Valve, air conditioning;Valve;Air Conditioning, universal;Expansion;0
2816;Housing, direction indicator;Housing;Signal System, universal;Direction Indicator;0
2817;Housing, stop light;Housing;Signal System, universal;Stop Light;0
2818;Housing, high beam headlight;Housing;Lights, universal;High Beam Headlight;0
2819;Housing, headlight;Housing;Lights, universal;Headlight;0
2820;Housing, tail light assembly;Housing;Lights, universal;Tail Light Assembly;0
2821;Housing, licence plate light;Housing;Lights, universal;Licence Plate Light;0
2822;Housing, front fog light;Housing;Lights, universal;Front Fog Light;0
2823;Housing, rear fog light;Housing;Lights, universal;Rear Fog Light;0
2824;Housing, reverse light;Housing;Lights, universal;Reverse Light;0
2825;Housing, tail light;Housing;Lights, universal;Tail Light;0
2828;Strap, fuel tank;Strap;Fuel Supply System, universal;Fuel Tank;0
2829;Base, direction indicator;Holder;Signal System, universal;Direction Indicator;0
2830;Holder, stop light;Holder;Signal System, universal;Stop Light;0
2831;Bracket, headlight;Holder;Lights, universal;Headlight;0
2832;Holder, rear fog light;Holder;Lights, universal;Rear Fog Light;0
2833;Base, reverse light;Holder;Lights, universal;Reverse Light;0
2834;Holder, reflector;Holder;Lights, universal;Reflector;0
2835;Holder, tail light;Holder;Lights, universal;Tail Light;0
2836;Holder, dryer;Holder;Air Conditioning, universal;Dryer;0
2837;High/Low-pressure Line, air conditioning;Hose Line;Air Conditioning, universal;High-pressure/Low-pressure;0
2838;Cap, work light;Cap;Lights, universal;Worklight;0
2839;Cap, high beam headlight;Cap;Lights, universal;High Beam Headlight;0
2840;Cap, headlight;Cap;Lights, universal;Headlight;0
2841;Cap, front fog light;Cap;Lights, universal;Front Fog Light;0
2842;Compressor, air conditioning;Compressor;Air Conditioning, universal;NULL;0
2843;Condenser, air conditioning;Condenser;Air Conditioning, universal;NULL;0
2845;Bulb Socket, worklight;Bulb Socket;Lights, universal;Worklight;0
2846;Bulb Socket, high beam headlight;Bulb Socket;Lights, universal;High Beam Headlight;0
2847;Bulb Socket, headlight;Bulb Socket;Lights, universal;Headlight;0
2848;Bulb Socket, front fog light;Bulb Socket;Lights, universal;Front Fog Light;0
2849;Bulb Holder, direction indicator;Lamp Base;Signal System, universal;Direction Indicator;0
2850;Bulb Holder, stop light;Lamp Base;Signal System, universal;Stop Light;0
2851;Bulb Holder, licence plate light;Lamp Base;Lights, universal;Licence Plate Light;0
2852;Bulb Holder, reverse light;Lamp Base;Lights, universal;Reverse Light;0
2853;Bulb Holder, tail light;Lamp Base;Lights, universal;Tail Light;0
2854;Steering Column Switch;Switch;Instruments, universal;Steering Column;0
2855;Lens, end outline marker light;Lens;Lights, universal;End Outline Marker Light;0
2856;Lens, direction indicator;Lens;Signal System, universal;Direction Indicator;0
2857;Lens, stop light;Lens;Signal System, universal;Stop Light;0
2858;Lens, tail light assembly;Lens;Lights, universal;Tail Light Assembly;0
2859;Lens, licence plate light;Lens;Lights, universal;Licence Plate Light;0
2860;Lens, rear fog light;Lens;Lights, universal;Rear Fog Light;0
2861;Lens, position light;Lens;Lights, universal;Position Light;0
2862;Lens, reverse light;Lens;Lights, universal;Reverse Light;0
2863;Lens, rotating beacon;Lens;Signal System, universal;Rotating Beacon;0
2864;Lens, tail light;Lens;Lights, universal;Tail Light;0
2865;Magnetic Clutch, air conditioning compressor;Coupling;Air Conditioning, universal;Compressor;0
2866;Mounting Kit, air conditioning;Assembly Kit;Air Conditioning, universal;NULL;0
2867;Retrofit Kit, air conditioning;Retrofit Kit;Air Conditioning, universal;NULL;0
2868;Frame, worklight;Frame;Lights, universal;Worklight;0
2869;Frame, high beam headlight;Frame;Lights, universal;High Beam Headlight;0
2870;Frame, headlight;Frame;Lights, universal;Headlight;0
2871;Frame, radiator grille;Frame;Body Parts, universal;Radiator Grille;0
2872;Frame, front fog light;Frame;Lights, universal;Front Fog Light;0
2873;Ramp Mirror;Mirror;Driver Cab, universal;Ramp;0
2874;Reflector, worklight;Reflector;Lights, universal;Worklight;0
2875;Reflector, direction indicator;Reflector;Signal System, universal;Direction Indicator;0
2876;Reflector, high beam headlight;Reflector;Lights, universal;High Beam Headlight;0
2877;Reflector, headlight;Reflector;Lights, universal;Headlight;0
2878;Reflector, front fog light;Reflector;Lights, universal;Front Fog Light;0
2879;Reflector, position/end outline marker light;Reflector;Lights, universal;Position/End Outline Marker Light;0
2880;Reflector, rotating beacon;Reflector;Signal System, universal;Rotating Beacon;0
2881;Reflector, searchlight;Reflector;Lights, universal;Searchlight;0
2882;Control Unit, wipe-/wash interval;Regulator;Window Cleaning, universal;Wipe-/Wash Interval;0
2883;Relay, window regulator;Relay;Comfort Systems, universal;Window Regulator;0
2884;Relay, safety belt alarm;Relay;Security Systems, universal;Safety Belt Alarm;0
2885;Relay, rear window heating;Relay;Comfort Systems, universal;Rear Window Heating;0
2886;Relay, rear fog light;Relay;Lights, universal;Rear Fog Light;0
2887;Relay, headlight cleaning;Relay;Headlight Cleaning, universal;NULL;0
2888;Relay, wipe/wash interval;Relay;Window Cleaning, universal;Wipe-/Wash Interval;0
2889;Pipe Connector, exhaust system;Pipe Connector;Exhaust System, universal;NULL;0
2890;Actuator, headlight levelling;Actuator;Lights, universal;Headlight Levelling;0
2891;Sensor Set, xenon light conversion (headlight levelling);Sensor Kit;Lights, universal;Xenon Light Conversion, (headlight levelling);0
2892;Time-delay Relay, trailer hitch;Relay;Trailer Hitch, universal;Timer;0
2893;Diffusing Lens, high beam headlight;Diffusing Lens;Lights, universal;High Beam Headlight;0
2894;Diffusing Lens, headlight;Diffusing Lens;Lights, universal;Headlight;0
2895;Diffusing Lens, front fog light;Diffusing Lens;Lights, universal;Front Fog Light;0
2896;Dryer, air conditioning;Dehumidifier;Air Conditioning, universal;NULL;0
2897;Conversion Kit, air conditioning;Conversion Kit;Air Conditioning, universal;NULL;0
2898;Evaporator, air conditioning;Evaporator;Air Conditioning, universal;NULL;0
2899;Cap, fuel tank;Closure;Fuel Supply System, universal;Fuel Tank;0
2900;Washer Fluid Reservoir, window cleaning;Tank;Window Cleaning, universal;Washer Fluid;0
2901;Washer Fluid Jet, window cleaning;Nozzle;Window Cleaning, universal;Washer Fluid;0
2902;Washer Fluid Jet, headlight cleaning;Nozzle;Headlight Cleaning, universal;Washer Fluid;0
2903;Washer Fluid Pump, window cleaning;Pump;Window Cleaning, universal;Washer Fluid;0
2904;Washer Fluid Pump, headlight cleaning;Pump;Headlight Cleaning, universal;Washer Fluid;0
2905;Control/Trailing Arm Kit, wheel suspension;Control/Trailing Arm Kit;Wheel Suspension;NULL;0
2906;Seal Ring, pre-chamber;Seal Ring;Cylinder Head;Pre-chamber;0
2907;Ignition Switch;Switch;Starter System, universal;Ignition/Starter;0
2908;Lamp Holder;Holder;Body Parts, universal;Lights;0
2909;Support, radiator fan;Holder;Cooling, universal;Fan;0
2910;Belt Drive, rotating beacon;Belt;Signal System, universal;Drive, rotating beacon;0
2911;Fuse Box;Van;Electrical System, universal;Fuse;0
2913;Gasket Set, air conditioning compressor;Gasket Set;Air Conditioning, universal;Air Conditioning Compressor;0
2914;Coil, magnetic clutch (compressor);Coil;Air Conditioning;Magnetic clutch (compressor);0
2915;Bearing, compressor shaft;Bearing;Air Conditioning, universal;Compressor Shaft;0
2916;Connecting Flange, air conditioning compressor;Flange;Air Conditioning;Compressor;0
2917;Sealing Cap, air conditioning compressor;Cap;Air Conditioning, universal;Compressor;0
2918;Temperature Switch, air conditioning fan;Switch;Air Conditioning;Air Conditioning Fan;0
2919;Cylinder Head, air conditioning compressor;Cylinder Head;Air Conditioning;Compressor;0
2920;Control Valve, air conditioning compressor;Valve;Air Conditioning;Compressor;0
2921;Gasket Set, compressor control valve;Gasket Set;Air Conditioning;Compressor Control Valve;0
2922;Bolt, tensioner pulley;Screw;Belt Drive;Tensioner Pulley;0
2923;Spacer, compressor shaft;Spacer;Air Conditioning;Compressor Shaft;0
2924;Adaptor, air conditioning compressor;Adaptor;Air Conditioning, universal;Compressor;0
2925;Adapter, air conditioning service unit;Adaptor;Workshop Devices;Air Conditioning Service Unit;0
2926;Holder, air conditioning compressor;Holder;Air Conditioning;Compressor;0
2927;Glow Plug, auxiliary heater;Glow Plug;Heating/Ventilation;Coolant Preheating;0
2929;Pre-Catalytic Converter;Catalytic Converter;Exhaust System;Emission Pre-detoxification;0
2930;Chain Tensioner, oil pump drive;Tensioner;Lubrication;Oil Pump Drive Chain;0
2931;Guide Rail, drive chain (oil pump);Guide, timing chain;Lubrication;Drive Chain (oil pump);0
2932;Conversion Kit, handbrake cable;Conversion Kit;Braking System;Handbrake Cable;0
2933;Filter, crankcase ventilation;Filter;Crankshaft Drive;Crankcase Ventilation;0
2934;Tensioner, chain;Tensioner;Lubrication;Chain Tensioner;0
2935;Tensioner, chain;Tensioner;Engine Timing;Chain Tensioner;0
2936;Tensioner Rail, drive chain (oil pump);Tensioner Guide;Lubrication;Drive Chain (oil pump);0
2937;Tensioner Guide, timing chain;Tensioner Guide;Engine Timing;Timing Chain;0
2938;Tensioner Guide Pad, timing chain;Pad, tensioner guide;Engine Timing;Timing Chain;0
2939;Tensioner Guide Set, timing chain;Tensioner Guide Set;Engine Timing;Timing Chain;0
2940;Tensioner Rail Cover, drive chain (oil pump);Pad, tensioner guide;Lubrication;Drive Chain (oil pump);0
2941;Tensioner kit, drive chain (oil pump);Tensioner Guide Set;Lubrication;Drive Chain (oil pump);0
2942;Guide Rail Lining, drive chain (oil pump);Lining, timing chain guide;Lubrication;Drive Chain (oil pump);0
2943;Guide Rail Set, drive chain (oil pump);Timing-chain guides kit;Lubrication;Drive Chain (oil pump);0
2944;Fuel Filter;Filter;Fuel Supply System, universal;Fuel;0
2945;Thrust Piece, intake/exhaust valve;Thrust Piece;Engine Timing;Intake/Exhaust Valve;0
2948;Tone Sequence Relay, loud horn;Relay;Signal System;Loud Horn;0
2949;Floor Display;Sales Display;Workshop Devices;Floor;0
2950;Counter Display;Sales Display;Workshop Devices;Counter;0
2952;Switch Relay, high beam/low beam;Relay;Lights;High Beam/Low Beam Changeover;0
2953;Gearbox, electric motor (sunroof);Transmission;Comfort Systems;Electric Motor (sunroof);0
2955;Shock Absorber Conversion Kit, height adjustment;Conversion Kit;Suspension/Damping;Level Control;0
2956;Control Lamp;Gauge;Instruments, universal;Control Lamp;0
2957;Voltage Transformer;Voltage Transformer;Electric Universal Parts;NULL;0
2958;Heat Foil, exterior mirror;Foil;Driver Cab;Heatable exterior mirror;0
2959;Heat Foil, exterior mirror;Foil;Driver Cab, universal;Heatable exterior mirror;0
2960;Wide-Angle Mirror;Mirror;Driver Cab;Wide-angle;0
2961;Wide-Angle Mirror;Mirror;Driver Cab, universal;Wide-angle;0
2962;Switch, sunroof;Switch;Comfort Systems;Sunroof;0
2963;Switch, sunroof;Switch;Comfort Systems, universal;Sunroof;0
2964;Switch, child safety lock (door);Switch;Lock System;Child Lock/Door Lock;0
2965;Switch, engine brake;Switch;Braking System, universal;Engine Brake;0
2966;Control Switch;Switch;Electric Universal Parts;Control Switch;0
2967;Camber Correction Screw;Screw;Wheel Suspension;Camber Adjustment;0
2968;Cover, tailgate;Cover;Body;Tailgate;0
2970;Exterior mirror Set;Mirror Set;Body;Exterior Mirror;0
2971;Capacitor, ignition voltage (airbag);Condenser;Safety Systems;Ignition Voltage (airbag);0
2972;Voltage Converter, ignition voltage (airbag);Voltage Transformer;Safety Systems;Ignition Voltage (airbag);0
2973;Control Unit, seat user recognition;Control Unit;Safety Systems;Seat User Recognition;0
2974;Impeller, interior blower;Fan Wheel;Heating/Ventilation;Interior Blower;0
2975;Resistor, interior blower;Resistor;Heating/Ventilation;Interior Blower;0
2976;Bracket, auxiliary headlight;Holder;Lights;Auxiliary Headlight;0
2977;Bracket Set, auxiliary headlight;Holder Set;Lights;Auxiliary Headlight;0
2978;Bracket, auxiliary headlight;Holder;Lights, universal;Auxiliary Headlight;0
2979;Bracket Set, auxiliary headlight;Holder Set;Lights, universal;Auxiliary Headlight;0
2980;Support Frame/Subframe;Frame;Body;Engine Support;0
2981;Radiator Grille Insert;Insert;Body;Radiator Grille;0
2982;Adaptor, cold check;Adaptor;Lights;Cold Check;0
2983;Conversion Kit, light;Conversion Kit;Lights;Conversion;0
2984;Deep Cycle Battery;Battery;Electric Universal Parts;Deep Cycle Battery;0
2985;Glow Plug, parking heater;Glow Plug;Comfort Systems;Parking Heater;0
2986;Glow Plug, parking heater;Glow Plug;Comfort Systems, universal;Parking Heater;0
2987;Cleaning Kit, wheel hub;Cleaning Tool Kit;Tool, universal;Wheel Hub;0
2988;Adapter, wiper blade;Adaptor;Window Cleaning;Wiper Blade;0
2989;Pinion, ignition distributor;Pinion;Ignition System;Ignition Distributor;0
2990;Cover Plate, wheel bearing dust cover;Shield;Wheel Suspension;Wheel Bearing Dust Cover;0
2991;Bulb, door open warning light;Bulb;Lights;Door Open Warning Light;0
2992;Bulb, rear fog/tail light;Bulb;Lights;Rear Fog/Tail Light;0
2993;Bulb, door open warning light;Bulb;Lights, universal;Door Open Warning Light;0
2994;Bulb, rear fog/tail light;Bulb;Lights, universal;Rear Fog/Tail Light;0
2995;Spacer Plate, cylinder head saver;Spacer Plate;Cylinder Head;Cylinder Head;0
2996;Mounting, support frame/subframe;Mounting;Body;Support Frame/Subframe;0
2997;Bulb, headlight switch;Bulb;Lights;Headlight Switch;0
2998;Bulb, air injection control (cabin air);Bulb;Lights;Air Jet Control;0
2999;Bulb, climate control;Bulb;Lights;Climate Control;0
3000;Bulb, blower switch;Bulb;Lights;Blower Switch;0
3001;Bulb, automatic shift console;Bulb;Lights;Automatic Shift Display;0
3002;Bulb, glove compartment light;Bulb;Lights;Glove Compartment Light;0
3003;Bulb, safety belt alarm;Bulb;Lights;Safety Belt Alarm;0
3004;Bulb, reading light;Bulb;Lights;Reading Light;0
3005;Bulb, door entry light;Bulb;Lights;Door Entry Light;0
3006;Spacer, brake shaft;Spacer;Braking System;Brake Shaft;0
3007;Spacer, adjuster;Spacer;Braking System;Adjuster;0
3008;Stop Plate, adjuster;Stop Plate;Braking System;Adjuster;0
3009;Retaining Plate, brake shoe pins;Retaining Plate;Braking System;Brake Shoe Pin;0
3010;Membrane, spring-loaded cylinder;Diaphragm;Braking System;Spring Loaded Cylinder;0
3011;Seal Ring, drive shaft mounting;Seal Ring;Wheel Drive;Drive Shaft Mounting;0
3012;Retrofit Kit, pre-catalytic converter;Retrofit Kit;Exhaust System;Pre-Catalytic Converter;0
3013;Sealing ring, wheel hub (planetary gearbox);Seal Ring;Wheel Drive;Wheel hub (planetary gearbox);0
3014;Repair Kit, drive shaft mounting;Repair Kit;Wheel Drive;Drive Shaft Mounting;0
3015;Shaft Seal, drive shaft;Seal Ring;Wheel Drive;Drive Shaft;0
3016;Seal Ring, steering knuckle;Seal Ring;Wheel Suspension;Steering Knuckle;0
3017;Seal Ring, support sleeve (tyre pressure control);Seal Ring;Wheel Suspension;Support Sleeve (tyre pressure monitoring system);0
3018;Seal Ring, connector (tyre pressure control);Seal Ring;Wheel Suspension;Connector (tyre pressure monitoring system);0
3019;Bush, steering knuckle;Bearing;Wheel Suspension;Steering Knuckle;0
3020;Lock Ring, steering knuckle;Lock Disc;Wheel Suspension;Steering Knuckle;0
3021;Ball Joint, tie rod (air spring valve);Ball Head;Compressed-air System;Push Rod (air spring valve);0
3022;Ball Joint, control arm (travel sensor);Joint;Compressed-air System;Tie Rod (travel sensor);0
3023;Test Connection, pressure reduction valve;Test Connection;Compressed-air System;Pressure Reduction Valve;0
3024;Test Coupling, air suspension bellows;Test Connection;Compressed-air System;Air Suspension Bellows;0
3025;Test Connection, relay valve;Test Connection;Compressed-air System;Relay Valve;0
3026;Spacer Ring, spring link console;Spacer Ring;Suspension/Damping;Spring Link Console;0
3027;Spacer Bush, spring eye;Spacer Bush;Suspension/Damping;Spring Eye;0
