GenArtNo;genart_en;standardised_article_description;assembly_groups;purpose_of_use;Delete
8988;Gasket, oil pump (automatic transmission);Gasket/Seal;Automatic Transmission;Oil Pump (automatic transmission);0
8989;Screw, crown gear (differential);Screw;Axle Drive;Crown Gear (differential);0
8990;Cable Repair Set, washer fluid pump (window cleaning);Cable Repair Set;Window Cleaning;Washer Fluid Pump (window cleaning);0
8991;Cable Repair Set, cigarette lighter;Cable Repair Set;Interior Equipment;Cigarette Lighter;0
8992;Cable Repair Kit, selector valve (fuel tank);Cable Repair Set;Fuel Supply System;Changeover Valve (fuel tank);0
8993;Relay, park light;Relay;Lights;Park Light;0
8994;Cable Repair Set, actuator (central locking system);Cable Repair Set;Lock System;Actuator (central locking system);0
8995;Thrust Plate, reset tool (brake calliper piston);Pressure Plate;Tool, vehicle specific;Reset Tool (brake calliper piston);0
8996;Spreader Insert Set, suspension strut;Spreader Insert Set;Tool, vehicle specific;Suspension Strut;0
8997;Spreader Insert, suspension strut;Spreader Insert;Tool, vehicle specific;Suspension Strut;0
8998;Sealing Seat Milling Head, injector nozzle;Deep Seat Milling Cutter;Tool, vehicle specific;Injector Nozzle;0
8999;Adapter, hydraulic pump;Adaptor;Tool, universal;Hydraulic Pump;0
9000;Hose, hydraulic pump;Hose;Tool, universal;Hydraulic Pump;0
9001;Boot Set, propshaft;Boot Set;Axle Drive, universal;Propshaft;0
9002;Mounting Tool Set, V-ribbed belt;Mounting Tool Set;Tool, universal;V-ribbed Belt;0
9003;Clevis Set, ball joint spreader;Clevis Set;Tool, universal;Ball Joint Spreader;0
9004;Axle Nut Insert Set, wheel;Axle Nut Insert Set;Special Tools, motorcycle, universal;Wheel Mounting;0
9005;Acrylic Glass Insert, sales wall;Insert;Workshop Equipment;Sales Wall;0
9006;Mitre Box;Mitre Box;Tool, universal;NULL;0
9007;Draw-in Tool Set, drive shaft;Setter Tool Set;Tool, vehicle specific;Drive Shaft;0
9008;Socket Wrench Insert, wheel nut/bolt;Socket Wrench Insert;Tool, vehicle specific;Wheel Nut/Bolt;0
9009;Socket Wrench Insert, injection line;Socket Wrench Insert;Tool, vehicle specific;Injection Pipe;0
9010;Puller, spindle nut;Puller;Tool, vehicle specific;NULL;0
9011;Work Safety Set;Work Safety Set;Protective Clothing/Equipment;NULL;0
9012;Measurement Rod, belt drive;Measurement Rod;Tool, universal;Belt Drive;0
9013;Assortment, clips;Assortment;Body;Body Holding Clip;0
